機構名稱,帳戶名稱,證券代號,持有單位,市值,持有成本,未實現損益,未實現損益報酬率,帳戶停用時間
手動台股證券,中信,2330,500,1040000.00,474,1035517.00,218463.50,
手動台股證券,中信,6752,3278,344190.00,30,342834.43,1142781.43,
手動台股證券,中信,0050,2000,172700.00,82,172298.30,210119.88,
手動台股證券,中信,2330,250,520000.00,2005,515991.00,25735.21,
手動台股證券,中信,0050,6000,518100.00,80,517059.90,646324.87,
手動台股證券,中信,2330,80,166400.00,1795,163963.80,9134.47,
